,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
13622,Berg (TG),Schweine,1783,3308,1.86
12228,Ins,Schweine,1771,3496,1.97
12816,Schmitten (FR),Schweine,1762,4072,2.31
12343,Vechigen,Schweine,1757,5240,2.98
13154,Wartau,Schweine,1738,5237,3.01
12820,Wünnewil-Flamatt,Schweine,1726,5470,3.17
12318,Eggiwil,Schweine,1723,2458,1.43
13055,Dörflingen,Schweine,1717,982,0.57
13866,Chavornay,Schweine,1713,4833,2.82
12679,Menzingen,Schweine,1695,4467,2.64
12665,Oberdorf (NW),Schweine,1687,3135,1.86
13561,Felben-Wellhausen,Schweine,1683,2749,1.63
12308,Oberburg,Schweine,1682,2940,1.75
12285,Thörigen,Schweine,1676,1117,0.67
13514,Staffelbach,Schweine,1667,1109,0.67
12321,Röthenbach im Emmental,Schweine,1667,1183,0.71
12749,Sorens,Schweine,1662,1082,0.65
11967,Hedingen,Schweine,1662,3687,2.22
13516,Uerkheim,Schweine,1656,1359,0.82
12305,Krauchthal,Schweine,1625,2344,1.44
12651,Giswil,Schweine,1624,3631,2.24
13485,Waltenschwil,Schweine,1623,2820,1.74
13468,Aristau,Schweine,1617,1413,0.87
13469,Auw,Schweine,1596,2064,1.29
12539,Geuensee,Schweine,1590,2906,1.83
12697,Nuvilly,Schweine,1577,407,0.26
13597,Aadorf,Schweine,1572,8865,5.64
13432,Hornussen,Schweine,1568,957,0.61
12197,Safnern,Schweine,1567,1912,1.22
12304,Koppigen,Schweine,1553,2103,1.35
12024,Winkel,Schweine,1550,4391,2.83
13172,Rapperswil-Jona,Schweine,1532,26962,17.6
12315,Utzenstorf,Schweine,1529,4253,2.78
12306,Lyssach,Schweine,1508,1430,0.95
12721,Siviriez,Schweine,1507,2214,1.47
13428,Frick,Schweine,1507,5319,3.53
13372,Oberwil-Lieli,Schweine,1500,2313,1.54
13181,Oberhelfenschwil,Schweine,1499,1296,0.86
13352,Stetten (AG),Schweine,1498,2203,1.47
12719,Romont (FR),Schweine,1490,5204,3.49
12682,Risch,Schweine,1484,10355,6.98
13436,Oberhof,Schweine,1480,598,0.4
13569,Uesslingen-Buch,Schweine,1478,1079,0.73
12616,Feusisberg,Schweine,1463,5237,3.58
12326,Trubschachen,Schweine,1449,1448,1.0
13560,Schlatt (TG),Schweine,1443,1665,1.15
12255,Melchnau,Schweine,1441,1531,1.06
12808,Bösingen,Schweine,1438,3412,2.37
13617,Zihlschlacht-Sitterdorf,Schweine,1430,2281,1.6
13176,Ebnat-Kappel,Schweine,1426,5034,3.53
12055,Hinwil,Schweine,1416,11095,7.84
12630,Wangen (SZ),Schweine,1412,4989,3.53
12325,Trub,Schweine,1411,1350,0.96
12654,Sachseln,Schweine,1408,5060,3.59
12521,Altwis,Schweine,1402,411,0.29
12379,Walkringen,Schweine,1402,1799,1.28
12209,Radelfingen,Schweine,1397,1240,0.89
12707,Cheyres-Châbles,Schweine,1395,2222,1.59
12045,Stadel,Schweine,1392,2227,1.6
12418,Gurzelen,Schweine,1392,855,0.61
12220,Oberwil bei Büren,Schweine,1389,832,0.6
12568,Nebikon,Schweine,1387,2600,1.87
13052,Neunkirch,Schweine,1377,2131,1.55
13478,Kallern,Schweine,1373,354,0.26
12359,Zuzwil (BE),Schweine,1367,572,0.42
13430,Gipf-Oberfrick,Schweine,1357,3512,2.59
