,Ortsname,Art,Tiere 2017,Einwohner 2017,Anteil 2017
10039,Horrenbach-Buchen,Ziegen,114,236,2.07
10191,Romoos,Ziegen,113,667,5.9
10033,Eriz,Ziegen,112,492,4.39
9934,Trubschachen,Ziegen,112,1448,12.93
11845,Lignières,Ziegen,111,965,8.69
10074,Oberwil im Simmental,Ziegen,111,799,7.2
9937,Lützelflüh,Ziegen,111,4092,36.86
10143,Beromünster,Ziegen,111,6517,58.71
9932,Signau,Ziegen,110,2737,24.88
11816,Törbel,Ziegen,110,471,4.28
10869,Churwalden,Ziegen,109,1998,18.33
10205,Göschenen,Ziegen,109,450,4.13
10210,Schattdorf,Ziegen,108,5248,48.59
10718,Schlatt-Haslen,Ziegen,108,1102,10.2
10174,Luthern,Ziegen,108,1281,11.86
10895,Breil/Brigels,Ziegen,108,1263,11.69
11793,Anniviers,Ziegen,108,2719,25.18
9723,Hettlingen,Ziegen,107,3168,29.61
10840,Landquart,Ziegen,106,8854,83.53
10782,Eschenbach (SG),Ziegen,106,9245,87.22
11391,Prévonloup,Ziegen,106,166,1.57
10759,Grabs,Ziegen,105,6884,65.56
10273,Oberdorf (NW),Ziegen,104,3135,30.14
10856,Castaneda,Ziegen,104,273,2.62
10032,Buchholterberg,Ziegen,104,1544,14.85
9755,Mont-Tramelan,Ziegen,104,116,1.12
10005,Rüschegg,Ziegen,104,1617,15.55
11280,Cugnasco-Gerra,Ziegen,104,2909,27.97
11797,Grimisuat,Ziegen,104,3279,31.53
9813,Grossaffoltern,Ziegen,103,3005,29.17
10802,Niederbüren,Ziegen,103,1530,14.85
10858,Santa Maria in Calanca,Ziegen,102,110,1.08
11715,Hérémence,Ziegen,102,1377,13.5
10692,Hundwil,Ziegen,102,956,9.37
9970,Bowil,Ziegen,101,1388,13.74
10753,Oberriet (SG),Ziegen,99,8811,89.0
10356,Sâles,Ziegen,99,1446,14.61
10249,Rothenthurm,Ziegen,99,2375,23.99
11676,Montreux,Ziegen,98,26629,271.72
11669,Rossinière,Ziegen,97,544,5.61
10185,Willisau,Ziegen,97,7777,80.18
11327,Sessa,Ziegen,96,703,7.32
10816,Brusio,Ziegen,96,1122,11.69
9979,Linden,Ziegen,95,1287,13.55
11210,Fischingen,Ziegen,95,2686,28.27
10141,Schongau,Ziegen,95,1020,10.74
9940,Trachselwald,Ziegen,95,971,10.22
10212,Seelisberg,Ziegen,94,683,7.27
10885,Seewis im Prättigau,Ziegen,94,1397,14.86
10200,Attinghausen,Ziegen,94,1650,17.55
10896,Disentis/Mustér,Ziegen,94,2098,22.32
11281,Terre di Pedemonte,Ziegen,93,2608,28.04
11716,Saint-Martin (VS),Ziegen,93,837,9.0
11717,Vex,Ziegen,92,1813,19.71
10775,Kaltbrunn,Ziegen,91,4791,52.65
10998,Elfingen,Ziegen,91,284,3.12
10900,Trun,Ziegen,91,1180,12.97
11164,Amriswil,Ziegen,90,13346,148.29
10332,Vuisternens-devant-Romont,Ziegen,90,2271,25.23
11202,Raperswilen,Ziegen,89,391,4.39
10812,Albula/Alvra,Ziegen,89,1331,14.96
10215,Spiringen,Ziegen,89,834,9.37
10761,Sevelen,Ziegen,88,4999,56.81
9876,Huttwil,Ziegen,88,4835,54.94
10011,Kehrsatz,Ziegen,88,4258,48.39
10355,La Roche,Ziegen,88,1644,18.68
10206,Gurtnellen,Ziegen,88,563,6.4
11794,Crans-Montana,Ziegen,87,10711,123.11
10102,Hasliberg,Ziegen,87,1193,13.71
10092,Lütschental,Ziegen,86,227,2.64
11477,Juriens,Ziegen,86,303,3.52
10715,Appenzell,Ziegen,86,5825,67.73
10271,Ennetmoos,Ziegen,85,2108,24.8
10189,Flühli,Ziegen,85,1937,22.79
11718,Mont-Noble,Ziegen,85,1056,12.42
10234,Reichenburg,Ziegen,84,3566,42.45
10139,Römerswil,Ziegen,83,1763,21.24
10257,Alpnach,Ziegen,83,5997,72.25
10217,Wassen,Ziegen,83,441,5.31
10694,Schwellbrunn,Ziegen,82,1565,19.09
9896,Wangen an der Aare,Ziegen,82,2305,28.11
10697,Waldstatt,Ziegen,82,1767,21.55
11699,Liddes,Ziegen,82,755,9.21
10252,Steinen,Ziegen,82,3358,40.95
9952,Wohlen bei Bern,Ziegen,81,9136,112.79
9988,Worb,Ziegen,81,11473,141.64
10894,Safiental,Ziegen,81,897,11.07
10750,Altstätten,Ziegen,81,11438,141.21
10038,Homberg,Ziegen,81,511,6.31
10744,Balgach,Ziegen,81,4598,56.77
10080,Brienz (BE),Ziegen,81,3080,38.02
11266,Frasco,Ziegen,80,107,1.34
10015,Mühlethurnen,Ziegen,80,1385,17.31
10073,Erlenbach im Simmental,Ziegen,79,1718,21.75
9890,Ochlenberg,Ziegen,79,561,7.1
11113,Brittnau,Ziegen,79,3882,49.14
10325,Mézières (FR),Ziegen,79,998,12.63
9693,Fehraltorf,Ziegen,78,6361,81.55
11294,Cademario,Ziegen,78,791,10.14
11759,Ausserberg,Ziegen,77,622,8.08
10232,Innerthal,Ziegen,76,193,2.54
11372,Ormont-Dessous,Ziegen,76,1104,14.53
9809,Twann-Tüscherz,Ziegen,76,1154,15.18
10777,Weesen,Ziegen,76,1635,21.51
11755,Bister,Ziegen,75,30,0.4
11846,Neuchâtel,Ziegen,75,33772,450.29
10762,Wartau,Ziegen,74,5237,70.77
9984,Oberthal,Ziegen,74,727,9.82
10304,Montagny (FR),Ziegen,74,2404,32.49
11766,Raron,Ziegen,74,1936,26.16
11731,Turtmann-Unterems,Ziegen,74,1108,14.97
11330,Torricella-Taverne,Ziegen,73,3066,42.0
10228,Küssnacht (SZ),Ziegen,73,12512,171.4
10809,Vaz/Obervaz,Ziegen,72,2716,37.72
9764,Sauge,Ziegen,71,834,11.75
11643,Trélex,Ziegen,71,1446,20.37
11745,Champéry,Ziegen,71,1324,18.65
10050,Uetendorf,Ziegen,70,6006,85.8
11256,Personico,Ziegen,70,340,4.86
